Path,Line Coverage,Function Coverage,Region Coverage
src/dovecot/src/lib/base64.c,0.00% (0/671),0.00% (0/13),0.00% (0/865)
src/dovecot/src/lib/base64.h,0.00% (0/97),0.00% (0/24),0.00% (0/34)
src/dovecot/src/lib/bits.c,83.33% (5/6),100.00% (1/1),80.00% (12/15)
src/dovecot/src/lib/bits.h,4.69% (3/64),8.33% (1/12),14.29% (2/14)
src/dovecot/src/lib/buffer.c,49.03% (127/259),60.00% (18/30),48.90% (156/319)
src/dovecot/src/lib/buffer.h,0.00% (0/8),0.00% (0/2),0.00% (0/2)
src/dovecot/src/lib/byteorder.h,0.00% (0/103),0.00% (0/16),0.00% (0/16)
src/dovecot/src/lib/compat.c,0.00% (0/8),0.00% (0/2),0.00% (0/2)
src/dovecot/src/lib/connection.c,40.56% (288/710),51.16% (22/43),37.15% (376/1012)
src/dovecot/src/lib/data-stack.c,37.42% (119/318),51.85% (14/27),30.71% (125/407)
src/dovecot/src/lib/eacces-error.c,0.00% (0/247),0.00% (0/8),0.00% (0/185)
src/dovecot/src/lib/env-util.c,0.00% (0/78),0.00% (0/10),0.00% (0/137)
src/dovecot/src/lib/event-filter-lexer.c,0.00% (0/706),0.00% (0/42),0.00% (0/553)
src/dovecot/src/lib/event-filter-parser.c,0.00% (0/593),0.00% (0/8),0.00% (0/433)
src/dovecot/src/lib/event-filter.c,1.80% (9/499),5.56% (2/36),0.85% (5/585)
src/dovecot/src/lib/event-log.c,9.00% (27/300),13.04% (3/23),8.86% (28/316)
src/dovecot/src/lib/execv-const.c,0.00% (0/19),0.00% (0/3),0.00% (0/18)
src/dovecot/src/lib/failures.c,0.00% (0/622),0.00% (0/63),0.00% (0/449)
src/dovecot/src/lib/fd-util.c,34.91% (37/106),80.00% (4/5),37.96% (41/108)
src/dovecot/src/lib/fdpass.c,0.00% (0/51),0.00% (0/2),0.00% (0/43)
src/dovecot/src/lib/file-dotlock.c,0.00% (0/618),0.00% (0/26),0.00% (0/560)
src/dovecot/src/lib/file-lock.c,0.00% (0/365),0.00% (0/26),0.00% (0/327)
src/dovecot/src/lib/guid.c,0.00% (0/117),0.00% (0/11),0.00% (0/124)
src/dovecot/src/lib/guid.h,0.00% (0/6),0.00% (0/2),0.00% (0/2)
src/dovecot/src/lib/hash-method.c,0.00% (0/43),0.00% (0/6),0.00% (0/51)
src/dovecot/src/lib/hash-method.h,0.00% (0/6),0.00% (0/2),0.00% (0/2)
src/dovecot/src/lib/hash.c,0.00% (0/369),0.00% (0/31),0.00% (0/439)
src/dovecot/src/lib/hex-binary.c,0.00% (0/56),0.00% (0/5),0.00% (0/55)
src/dovecot/src/lib/hmac.c,0.00% (0/92),0.00% (0/6),0.00% (0/147)
src/dovecot/src/lib/hmac.h,0.00% (0/11),0.00% (0/2),0.00% (0/2)
src/dovecot/src/lib/home-expand.c,0.00% (0/53),0.00% (0/3),0.00% (0/49)
src/dovecot/src/lib/hostpid.c,80.49% (33/41),66.67% (2/3),66.67% (36/54)
src/dovecot/src/lib/imem.c,31.25% (15/48),50.00% (5/10),10.20% (5/49)
src/dovecot/src/lib/ioloop-epoll.c,79.74% (122/153),100.00% (6/6),76.60% (144/188)
src/dovecot/src/lib/ioloop-iolist.c,75.68% (28/37),100.00% (2/2),83.67% (41/49)
src/dovecot/src/lib/ioloop-notify-fd.c,0.00% (0/32),0.00% (0/3),0.00% (0/29)
src/dovecot/src/lib/ioloop-notify-inotify.c,0.00% (0/152),0.00% (0/8),0.00% (0/124)
src/dovecot/src/lib/ioloop.c,49.60% (435/877),45.24% (38/84),48.99% (531/1084)
src/dovecot/src/lib/iostream-pump.c,58.43% (97/166),71.43% (10/14),55.83% (158/283)
src/dovecot/src/lib/iostream-rawlog.c,0.00% (0/212),0.00% (0/12),0.00% (0/134)
src/dovecot/src/lib/iostream.c,64.21% (61/95),73.33% (11/15),68.70% (79/115)
src/dovecot/src/lib/ipwd.c,0.00% (0/69),0.00% (0/7),0.00% (0/70)
src/dovecot/src/lib/istream-chain.c,19.62% (41/209),40.00% (4/10),14.84% (50/337)
src/dovecot/src/lib/istream-data.c,46.51% (20/43),40.00% (2/5),38.46% (15/39)
src/dovecot/src/lib/istream-failure-at.c,0.00% (0/60),0.00% (0/4),0.00% (0/59)
src/dovecot/src/lib/istream-file.c,33.50% (68/203),40.00% (4/10),31.23% (89/285)
src/dovecot/src/lib/istream-limit.c,61.76% (63/102),50.00% (3/6),58.70% (54/92)
src/dovecot/src/lib/istream-rawlog.c,0.00% (0/78),0.00% (0/5),0.00% (0/88)
src/dovecot/src/lib/istream-sized.c,63.40% (97/153),63.64% (7/11),61.74% (71/115)
src/dovecot/src/lib/istream-unix.c,0.00% (0/74),0.00% (0/6),0.00% (0/125)
src/dovecot/src/lib/istream.c,41.24% (360/873),46.75% (36/77),40.60% (367/904)
src/dovecot/src/lib/istream.h,100.00% (9/9),100.00% (2/2),81.82% (18/22)
src/dovecot/src/lib/lib-event-private.h,100.00% (4/4),100.00% (1/1),100.00% (1/1)
src/dovecot/src/lib/lib-event.c,25.29% (236/933),33.33% (30/90),29.34% (289/985)
src/dovecot/src/lib/lib-signals.c,10.25% (45/439),26.67% (8/30),8.53% (47/551)
src/dovecot/src/lib/lib.c,37.61% (44/117),42.86% (6/14),36.36% (40/110)
src/dovecot/src/lib/lib.h,0.00% (0/10),0.00% (0/3),0.00% (0/13)
src/dovecot/src/lib/malloc-overflow.h,20.00% (4/20),50.00% (1/2),38.89% (7/18)
src/dovecot/src/lib/md4.c,0.00% (0/162),0.00% (0/8),0.00% (0/122)
src/dovecot/src/lib/md5.c,0.00% (0/179),0.00% (0/8),0.00% (0/154)
src/dovecot/src/lib/memarea.c,69.39% (34/49),55.56% (5/9),65.74% (71/108)
src/dovecot/src/lib/mempool-alloconly.c,48.30% (85/176),40.00% (6/15),45.16% (112/248)
src/dovecot/src/lib/mempool-datastack.c,22.95% (14/61),22.22% (2/9),16.46% (13/79)
src/dovecot/src/lib/mempool-system.c,22.50% (9/40),25.00% (2/8),14.71% (5/34)
src/dovecot/src/lib/mempool-unsafe-datastack.c,10.34% (3/29),12.50% (1/8),7.69% (1/13)
src/dovecot/src/lib/mempool.c,0.00% (0/10),0.00% (0/1),0.00% (0/25)
